date,latitude,longitude,elevation,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
2020-02-04 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.837832,21.567001,6.467,0.0,42960.234,,39.6,27.63,4.982681
2020-02-05 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,11.839917,21.767,,0.0,42972.234,14.021525,36.36,28.68,5.2891088
2020-02-06 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.281585,20.317001,4.517,0.0,42984.46,,46.079998,28.33,5.1386867
2020-02-07 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.262834,,4.1670003,0.0,42996.902,8.669949,24.119999,26.68,4.8283052
2020-02-08 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.198249,,7.717,,43009.543,12.964998,33.839996,21.66,3.638494
2020-02-09 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.864917,19.867,,2.3000002,43022.363,9.178235,28.44,22.38,3.9581227
2020-02-10 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,,20.117,9.266999,0.4,43035.363,20.991426,50.399998,26.41,
2020-02-11 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.21075,,7.517,0.0,43048.516,20.746122,48.6,27.06,4.854818
2020-02-12 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.260751,,5.4170003,0.0,43061.816,18.79255,45.719997,26.22,4.7988205
2020-02-13 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.4419985,22.017,8.516999,0.0,43075.246,14.186923,,24.39,
2020-02-14 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.721166,20.817001,10.117,0.2,43088.79,10.464797,,20.47,3.8485339
2020-02-15 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.508666,20.717001,9.867,0.0,43102.445,15.990646,40.32,17.89,3.5655751
2020-02-16 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.8482485,21.067001,10.516999,0.0,43116.188,18.514643,44.639996,22.64,
2020-02-17 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.998249,,10.467,0.0,43130.01,23.990698,54.719997,24.53,4.433317
2020-02-18 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.894084,20.117,,0.1,,22.553934,52.199997,21.66,4.047059
2020-02-19 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.148251,21.517,,1.6000003,43157.832,18.899143,44.28,19.5,3.7217872
2020-02-20 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.914916,20.467001,8.467,,43171.816,12.904882,33.839996,18.42,3.497942
2020-02-21 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.800332,19.717001,7.967,13.5,,14.04,38.16,19.47,3.3167732
2020-02-22 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.950332,,10.217,,43199.85,10.105681,,16.34,2.8781931
2020-02-23 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.577416,,10.766999,14.299999,43213.9,10.137692,25.56,13.09,2.331536
2020-02-24 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.2544985,18.667,11.617,9.8,43228.094,10.495713,29.16,15.91,2.8227167
2020-02-25 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.658666,19.567001,9.367,23.699997,43242.44,10.105681,27.359999,,3.1494513
2020-02-26 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.775331,18.067001,11.016999,19.800001,43256.93,12.6462,33.48,16.2,2.8023853
2020-02-27 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,,19.367,,8.900001,,14.145756,35.64,21.6,3.6728926
